entry_t,R,net,year,sym,eq
2024-04-12 18:00:00+00:00,-1.022679240884913,-1.8037274634976612,2024,BTCUSDT,10532.42349907057
2024-04-22 22:00:00+00:00,-1.0216650265029819,-1.8862936103260601,2024,BTCUSDT,10424.817411737384
2024-04-25 10:00:00+00:00,-1.0233736334849945,-1.7513299917909342,2024,BTCUSDT,10318.132579006711
2024-05-04 05:00:00+00:00,0.7282786370176942,1.3411288004550148,2024,BTCUSDT,10393.27733431878
2024-05-09 10:00:00+00:00,-1.0240746526115343,-1.701498533143353,2024,BTCUSDT,10286.842415562402
2024-05-15 12:00:00+00:00,0.7208394987947352,0.9887889014261411,2024,BTCUSDT,10360.994038872546
2024-06-11 02:00:00+00:00,0.707287423782884,0.6623692471159904,2024,BTCUSDT,10434.276046688385
2024-07-01 01:00:00+00:00,-1.038388798401403,-1.0819706181409976,2024,BTCUSDT,10325.927693025293
2024-07-03 03:00:00+00:00,0.7137612551078178,0.7878432404117818,2024,BTCUSDT,10399.630164128557
2024-07-13 22:00:00+00:00,0.7245632382814249,1.1393954093650525,2024,BTCUSDT,10474.98206121506
2024-07-31 19:00:00+00:00,0.7233475004937865,1.085597994777419,2024,BTCUSDT,10550.752582132032
2024-08-08 22:00:00+00:00,-1.0156032407459585,-2.603570007747323,2024,BTCUSDT,10443.598796984812
2024-08-15 19:00:00+00:00,0.7317690865239331,1.6055566002978046,2024,BTCUSDT,10520.021824501731
2024-08-20 04:00:00+00:00,-1.0252033120191313,-1.6270929967314114,2024,BTCUSDT,10412.170212331805
2024-08-27 21:00:00+00:00,0.7219060322062277,1.0278448918365422,2024,BTCUSDT,10487.336297178208
2024-09-10 19:00:00+00:00,-1.026322789180985,-1.5595958044178349,2024,BTCUSDT,10379.702374782219
2024-10-01 13:00:00+00:00,0.7137013884458566,0.786477893107612,2024,BTCUSDT,10453.782454747588
2024-10-07 00:00:00+00:00,-1.0362421973859928,-1.1436858381953323,2024,BTCUSDT,10345.45594972856
2024-10-09 18:00:00+00:00,0.7179792403708615,0.8968922020419657,2024,BTCUSDT,10419.734175769325
2024-10-12 14:00:00+00:00,-1.034546254247122,-1.197867933057674,2024,BTCUSDT,10311.937206151395
2024-10-23 16:00:00+00:00,0.7146701105703702,0.8091393685155529,2024,BTCUSDT,10385.633539184546
2024-10-24 19:00:00+00:00,-1.035580818513611,-1.1642012317591441,2024,BTCUSDT,10278.081910371635
2024-11-03 02:00:00+00:00,0.7174155254026251,0.88068386465304,2024,BTCUSDT,10351.818465710241
2024-11-06 00:00:00+00:00,0.7213507478443579,1.0071477523050127,2024,BTCUSDT,10426.491385628133
2024-11-26 10:00:00+00:00,-1.0240337828823223,-1.7043239308540725,2024,BTCUSDT,10319.720591469984
2024-11-29 11:00:00+00:00,0.7234181323424895,1.0885888706741706,2024,BTCUSDT,10394.37532143576
2024-12-03 13:00:00+00:00,-1.0289671029080019,-1.4208767872658237,2024,BTCUSDT,10287.420618825397
2024-12-04 20:00:00+00:00,0.7209442773008239,0.9924988406105173,2024,BTCUSDT,10361.587189058684
2024-12-10 17:00:00+00:00,-1.0211545933431614,-1.930842303188527,2024,BTCUSDT,10255.779365534354
2024-12-11 19:00:00+00:00,0.7271146069854179,1.2708798254364508,2024,BTCUSDT,10330.350635361352
2024-12-18 23:00:00+00:00,0.7252934313894441,1.1742519858942564,2024,BTCUSDT,10405.275989959126
2025-01-02 14:00:00+00:00,0.7201764624807475,0.9659168863061116,2025,BTCUSDT,10480.212338494972
2025-01-08 06:00:00+00:00,0.7180929066135098,0.9002297989544327,2025,BTCUSDT,10555.469999895739
2025-01-14 09:00:00+00:00,-1.027924825396532,-1.4724171926592473,2025,BTCUSDT,10446.967703329527
2025-01-27 01:00:00+00:00,0.7252454481372766,1.171898327481966,2025,BTCUSDT,10522.733861066296
2025-01-30 14:00:00+00:00,-1.0254584908632276,-1.6111850405782047,2025,BTCUSDT,10414.82759321705
2025-02-01 22:00:00+00:00,0.7222110820534877,1.0395670438749598,2025,BTCUSDT,10490.044632272029
2025-02-20 18:00:00+00:00,0.7117100621122593,0.7434956559071629,2025,BTCUSDT,10564.703335439975
2025-02-21 19:00:00+00:00,-1.035357587089392,-1.1712989175101505,2025,BTCUSDT,10455.320877903012
2025-03-02 16:00:00+00:00,0.7289805346629359,1.3872484822485256,2025,BTCUSDT,10531.538131939475
2025-03-03 19:00:00+00:00,0.7330244186588034,1.7272443374410682,2025,BTCUSDT,10608.736878106954
2025-03-06 02:00:00+00:00,-1.01671512545652,-2.4330421643588194,2025,BTCUSDT,10500.876245647356
2025-03-09 10:00:00+00:00,0.7327897161125524,1.7031438200668108,2025,BTCUSDT,10577.825586877165
2025-03-19 18:00:00+00:00,0.7243185022562074,1.128156168276874,2025,BTCUSDT,10654.442734739307
2025-03-28 14:00:00+00:00,0.7173208610693199,0.8780168444351263,2025,BTCUSDT,10730.869275106277
2025-04-02 15:00:00+00:00,-1.0311691763655417,-1.3233191204956285,2025,BTCUSDT,10620.215858785301
2025-04-02 23:00:00+00:00,-1.0267978687645956,-1.5326560149755948,2025,BTCUSDT,10511.167708689094
2025-04-11 17:00:00+00:00,0.7306048871579769,1.5067814105726365,2025,BTCUSDT,10587.962813666147
2025-05-29 18:00:00+00:00,0.7168579343411767,0.8651940307170656,2025,BTCUSDT,10663.863465181006
2025-06-09 09:00:00+00:00,0.7034117523734783,0.603939223481797,2025,BTCUSDT,10738.87433405215
2025-06-13 00:00:00+00:00,0.7125000572642586,0.7600012216393848,2025,BTCUSDT,10815.388819831809
2025-06-16 16:00:00+00:00,0.7069621039874083,0.657060097715346,2025,BTCUSDT,10891.849520186912
2025-06-17 15:00:00+00:00,0.7109231451034848,0.7277178749274257,2025,BTCUSDT,10969.282199355763
2025-06-24 16:00:00+00:00,0.7173877777975713,0.8799005150212045,2025,BTCUSDT,11047.974489166067
2025-07-25 03:00:00+00:00,-1.0354402735394677,-1.168659460132394,2025,BTCUSDT,10933.579311894875
2025-07-27 22:00:00+00:00,-1.0449522707429344,-0.9298326900713291,2025,BTCUSDT,10819.32862660175
2025-07-31 22:00:00+00:00,0.7066805157628426,0.6525290207926233,2025,BTCUSDT,10895.786713942294
2025-08-07 19:00:00+00:00,-1.0450330781771158,-0.9282359727371852,2025,BTCUSDT,10781.92213865397
2025-08-18 01:00:00+00:00,0.7049995132145049,0.626659455107715,2025,BTCUSDT,10857.934637246646
2025-09-05 07:00:00+00:00,-1.0397496494225282,-1.0462981832823388,2025,BTCUSDT,10745.039299921347
2025-09-22 00:00:00+00:00,0.6847387953058337,0.4196911770260608,2025,BTCUSDT,10818.614752578767
2025-09-29 13:00:00+00:00,0.6952041390598455,0.5074866072962081,2025,BTCUSDT,10893.826210127632
2025-10-10 15:00:00+00:00,0.7147024920512509,0.8099183580766949,2025,BTCUSDT,10971.684657531147
2025-10-21 15:00:00+00:00,-1.0281375775446215,-1.4615864864900507,2025,BTCUSDT,10858.88064467737
2025-10-22 10:00:00+00:00,0.7236056866339429,1.0966084650104853,2025,BTCUSDT,10937.456122527048
2025-10-26 09:00:00+00:00,0.7149928690222525,0.8169682565266425,2025,BTCUSDT,11015.658153855555
2025-10-29 23:00:00+00:00,0.7174995638857453,0.8830645365660792,2025,BTCUSDT,11094.695453068613
