setup,side,tp,sl,ts,filter,n,exp,win,pf,total,robust,yr_tot
fib50,cont,3.0,3.0,48,volSpike,1716,0.01368456227943483,53.03030303030303,1.0458446075080883,23.48270887151017,0.42857142857142855,7
fib50,cont,3.0,2.0,288,volHI,1396,0.013395211803338492,42.40687679083094,1.0335548840695858,18.699715677460535,0.42857142857142855,7
fib50,cont,4.0,1.5,96,conf3of3,294,0.013024543338326245,28.91156462585034,1.0522910003237531,3.829215741467916,0.5714285714285714,7
fib50,cont,3.0,2.0,96,volSpike,1716,0.013010171807167598,44.11421911421912,1.0487830883508404,22.325454821099598,0.2857142857142857,7
fib50,cont,3.0,0.5,48,conf0,266,0.01293361528684031,21.052631578947366,1.1059071224034278,3.4403416662995223,0.5714285714285714,7
pocket,fade,2.0,3.0,96,conf1,263,0.012695616383989314,62.3574144486692,1.0551256959559465,3.33894710898919,0.5,6
fib50,cont,4.0,2.0,96,conf15,1699,0.012543051965824819,37.13949381989406,1.041568300808629,21.310645289936367,0.5714285714285714,7
fib50,cont,3.0,2.0,12,volHI,1396,0.012532644100577544,48.99713467048711,1.047435412635335,17.49557116440625,0.5714285714285714,7
fib50,cont,3.0,3.0,96,volHI,1396,0.012526009475508686,52.14899713467048,1.0263587406589023,17.486309227810125,0.42857142857142855,7
pocket,fade,4.0,2.0,96,conf1,263,0.012158840856684682,34.60076045627377,1.0433374868212095,3.1977751453080714,0.5,6
pocket,fade,4.0,2.0,288,conf1,263,0.011963225330384561,34.60076045627377,1.041446861491333,3.1463282618911395,0.5,6
fib50,cont,3.0,0.5,288,conf0,266,0.01183898989156853,20.676691729323306,1.0965390128075196,3.149171311157229,0.5714285714285714,7
fib50,cont,3.0,0.5,96,conf0,266,0.01183898989156853,20.676691729323306,1.0965390128075196,3.149171311157229,0.5714285714285714,7
fib50,cont,3.0,2.0,24,conf15,1699,0.011440339223804734,46.26250735726899,1.0491652812685957,19.437136341244244,0.42857142857142855,7
fib50,cont,4.0,3.0,48,volSpike,1716,0.011363339129537103,47.43589743589743,1.0347174573095612,19.49948994628567,0.5714285714285714,7
fib50,cont,3.0,2.0,48,conf15,1699,0.010866543881704313,43.96703943496174,1.0416077212176307,18.462258055015628,0.42857142857142855,7
fib50,cont,2.0,1.5,12,conf0,266,0.010575329674053396,49.62406015037594,1.0648846444485915,2.8130376932982033,0.7142857142857143,7
fib50,cont,4.0,2.0,12,conf0,266,0.01047067240258492,48.1203007518797,1.054834590422869,2.785198859087589,0.7142857142857143,7
pocket,cont,4.0,3.0,288,conf3,823,0.010244983890861937,44.8359659781288,1.0297971165049964,8.431621742179374,0.5714285714285714,7
fib50,cont,3.0,0.5,12,conf0,266,0.009978725786500244,26.31578947368421,1.0884658844964523,2.654341059209065,0.7142857142857143,7
fib50,cont,3.0,3.0,12,conf15,1699,0.00992367358044693,52.44261330194232,1.0496714213445781,16.86032141317933,0.5714285714285714,7
fib50,cont,3.0,1.5,24,conf3of3,294,0.009814061424786592,40.816326530612244,1.0501271573363256,2.885334058887258,0.5714285714285714,7
pocket,cont,3.0,2.0,288,volHI,1295,0.009645546322148242,41.62162162162162,1.024156196208276,12.490982487181974,0.42857142857142855,7
fib50,cont,4.0,0.5,12,conf0,266,0.009631271888291739,25.93984962406015,1.0847757552391868,2.5619183222856026,0.8571428571428571,7
fib50,cont,3.0,2.0,48,volSpike,1716,0.00937001435626495,44.11421911421912,1.035928267201028,16.078944635350652,0.2857142857142857,7
fib50,cont,4.0,3.0,96,conf15,1699,0.009321446453246587,46.02707474985285,1.0253899194969618,15.837137524065952,0.42857142857142855,7
pocket,cont,3.0,3.0,288,rejWick,494,0.009294589492817454,53.441295546558706,1.0296836273920604,4.591527209451822,0.42857142857142855,7
pocket,cont,3.0,2.0,96,volHI,1295,0.009040189379413968,41.62162162162162,1.0228304931381964,11.707045246341089,0.42857142857142855,7
fib50,cont,3.0,3.0,96,legOld,2145,0.008960452317949645,53.14685314685315,1.0272871424589176,19.22017022200199,0.2857142857142857,7
fib50,cont,3.0,1.5,96,conf15,1699,0.008699675714939889,37.316068275456146,1.037073458605005,14.78074903968287,0.7142857142857143,7
fib50,cont,3.0,3.0,288,volHI,1396,0.008441175369721287,51.79083094555874,1.017172535167292,11.783880816130917,0.42857142857142855,7
fib50,cont,4.0,1.5,48,conf3of3,294,0.008405324327818797,30.272108843537417,1.0346080466565377,2.4711653523787263,0.5714285714285714,7
fib50,cont,1.5,1.5,96,conf3of3,294,0.008335786195946781,54.08163265306123,1.0529718565224246,2.4507211416083536,0.42857142857142855,7
fib50,cont,1.5,1.5,288,conf3of3,294,0.008335786195946781,54.08163265306123,1.0529718565224246,2.4507211416083536,0.42857142857142855,7
fib50,cont,4.0,2.0,96,volSpike,1716,0.008323253900859267,37.47086247086247,1.0278489761358984,14.282703693874502,0.5714285714285714,7
fib50,cont,1.5,1.5,48,conf3of3,294,0.00823237281083613,54.08163265306123,1.0524703377483677,2.4203176063858223,0.42857142857142855,7
fib50,cont,3.0,1.5,288,conf15,1699,0.008046482224425182,37.080635668040024,1.0341119528545795,13.670973299298385,0.7142857142857143,7
fib50,cont,4.0,1.5,288,conf3of3,294,0.007970051768517932,27.89115646258503,1.0315243112012868,2.3431952199442723,0.5714285714285714,7
fib50,cont,4.0,2.0,12,conf15,1699,0.007859738659564169,46.674514420247206,1.0412823777794153,13.353695982599522,0.42857142857142855,7
fib50,cont,3.0,1.5,288,volSpike,1716,0.007661135772816134,37.58741258741259,1.0331622335660406,13.146508986152487,0.42857142857142855,7
fib50,cont,3.0,2.0,12,conf0,266,0.007436498248573586,48.87218045112782,1.0396077472852991,1.9781085341205737,0.7142857142857143,7
fib50,cont,3.0,3.0,48,volHI,1396,0.007370076878794694,51.146131805157594,1.016987474840447,10.288627322797392,0.42857142857142855,7
pocket,cont,4.0,2.0,288,volHI,1295,0.0073187880527895615,35.057915057915054,1.016281653170038,9.477830528362482,0.2857142857142857,7
fib50,cont,3.0,1.5,96,volSpike,1716,0.006831110111537366,37.58741258741259,1.0295908789187733,11.72218495139812,0.42857142857142855,7
pocket,cont,4.0,3.0,48,rejWick,494,0.006660008003896442,46.963562753036435,1.0222390862006796,3.290043953924842,0.2857142857142857,7
fib50,cont,1.5,1.5,12,conf3of3,294,0.0064985922338663925,52.721088435374156,1.046053936254038,1.9105861167567193,0.5714285714285714,7
fib50,cont,3.0,3.0,24,conf15,1699,0.0063564607419035,51.91288993525603,1.024805705790677,10.799626800494046,0.5714285714285714,7
