setup,side,filter,tp,sl,ts,n_is,exp_is,win_is,n_oos,exp_oos,win_oos,pf_oos
pocket,cont,ALL,3.0,3.0,24,1673,-0.00206738831568602,50.68738792588165,1166,-0.04893889433700367,47.77015437392796,0.7941064669943027
flip,fade,structAgainst,3.0,2.0,96,331,-0.0021065195762103596,43.202416918429,227,-0.04988928530244116,40.969162995594715,0.7964814078988588
pocket,cont,noBOS,3.0,3.0,24,1671,-0.0021253513553316046,50.68821065230401,1162,-0.04790712583108398,47.84853700516351,0.7977962197051083
pocket,cont,noSweep,3.0,3.0,24,1584,-0.0021350427278866734,50.63131313131313,1104,-0.05459470428822506,47.19202898550724,0.7734871585185848
pocket,cont,posLow,1.0,3.0,288,553,-0.002746488148077596,77.9385171790235,350,-0.05580874577651055,71.42857142857143,0.6344263495799429
pocket,cont,structAgainst,1.0,2.0,24,493,-0.002859673364906668,68.96551724137932,337,-0.0737818108433052,61.12759643916914,0.5260503591660383
pocket,cont,structAlign,2.0,3.0,96,411,-0.0028790760405795106,58.88077858880778,323,-0.06318289376343612,57.89473684210527,0.744448221352482
pocket,cont,noBOS,4.0,2.0,288,1671,-0.002899035966457479,34.05146618791143,1162,-0.050671348248297284,32.96041308089501,0.8124360114764189
pocket,cont,ALL,4.0,2.0,288,1673,-0.0032578507582938913,34.01075911536163,1166,-0.051063145225537364,32.933104631217844,0.811097338409468
pocket,cont,posLow,1.0,3.0,96,553,-0.0034593418169333074,77.75768535262206,350,-0.055567523433617025,71.14285714285714,0.6341599350293236
pocket,cont,noSweep,1.0,3.0,288,1584,-0.0036860765523652342,76.4520202020202,1104,-0.0496338027239939,73.36956521739131,0.6759226858916608
pocket,cont,noSweep,1.0,3.0,96,1584,-0.00397404917438162,76.32575757575758,1104,-0.04958276613226888,73.18840579710145,0.67553182196924
pocket,cont,structAgainst,3.0,3.0,96,493,-0.004096114255582466,50.50709939148072,337,-0.046949982081974456,48.367952522255194,0.8366846728415912
pocket,cont,posLow,1.0,3.0,24,553,-0.004099453741795367,75.9493670886076,350,-0.057219535815996606,69.14285714285714,0.6170638433986516
pocket,cont,noBOS,2.0,3.0,288,1671,-0.004199787467092594,60.921603830041896,1162,-0.04816118792595057,59.552495697074015,0.7970293150102858
pocket,cont,structAgainst,3.0,3.0,288,493,-0.004346052794722135,50.50709939148072,337,-0.04464514143188578,48.96142433234421,0.8473056113505791
pocket,cont,ALL,2.0,3.0,288,1673,-0.004429933866322143,60.90854751942618,1166,-0.04933084689310685,59.43396226415094,0.7927672315145176
pocket,cont,structAgainst,2.0,1.5,96,493,-0.004611153914046396,43.81338742393509,337,-0.04332033390832079,43.62017804154303,0.7580090056587059
pocket,cont,structAgainst,2.0,1.5,288,493,-0.004611153914046396,43.81338742393509,337,-0.04332033390832079,43.62017804154303,0.7580090056587059
pocket,cont,structAgainst,2.0,2.0,24,493,-0.004913479805438959,50.709939148073026,337,-0.0662500873537669,47.774480712166174,0.6685595613156875
flip,cont,noBOS,3.0,3.0,96,131,-0.004972846613288509,47.32824427480916,80,0.12262248509180022,63.74999999999999,1.5607304802808617
flip,fade,structAgainst,3.0,1.5,24,331,-0.005011931449233799,38.368580060422964,227,-0.05312805475138489,34.36123348017621,0.7416422377704058
pocket,cont,noSweep,3.0,1.5,288,1584,-0.0055108930720748316,34.217171717171716,1104,-0.04971147414690145,32.69927536231884,0.7640418538160232
pocket,cont,ALL,1.0,3.0,288,1673,-0.0055353852276880285,76.3299462044232,1166,-0.04883191997974435,73.4991423670669,0.6792725971911646
pocket,cont,noBOS,1.0,3.0,288,1671,-0.0056515542161937075,76.30161579892281,1162,-0.04866886469792929,73.58003442340791,0.6799981680523687
pocket,cont,noBOS,2.0,3.0,96,1671,-0.0056749599487310775,60.502692998204665,1162,-0.047142703962249066,59.466437177280554,0.7992324512805425
pocket,cont,noSweep,4.0,2.0,96,1584,-0.005793948998335289,34.532828282828284,1104,-0.04913236702804867,33.242753623188406,0.8153927816486018
pocket,cont,ALL,1.0,3.0,96,1673,-0.005808038325879272,76.2104004781829,1166,-0.048783597169054456,73.32761578044597,0.6789075027949432
pocket,cont,noSweep,3.0,1.5,96,1584,-0.005852354262037611,34.217171717171716,1104,-0.04910088526469612,32.518115942028984,0.7655563347900378
pocket,cont,noSweep,1.0,3.0,24,1584,-0.005856319766650923,74.17929292929293,1104,-0.04924240363849363,70.1086956521739,0.6668523764128567
pocket,cont,ALL,2.0,3.0,96,1673,-0.005903342842304157,60.49013747758517,1166,-0.0483158568709618,59.348198970840485,0.7949110928442998
pocket,cont,noBOS,1.0,3.0,96,1671,-0.005924533649631142,76.18192698982645,1162,-0.048620375543656974,73.407917383821,0.6796329700022364
pocket,cont,noBOS,2.0,2.0,288,1671,-0.005945472445713849,50.62836624775583,1162,-0.053729807503681004,49.5697074010327,0.7406969021638156
pocket,cont,ALL,2.0,2.0,288,1673,-0.006073169763137462,50.627615062761514,1166,-0.054388636398023264,49.48542024013722,0.7379922060746289
pocket,cont,ALL,2.0,3.0,24,1673,-0.0061987182824798604,57.14285714285714,1166,-0.0509849119647365,54.8885077186964,0.758909261613114
pocket,cont,noBOS,2.0,3.0,24,1671,-0.006204689098606631,57.151406343506885,1162,-0.04982094685324847,54.99139414802065,0.7634562957931289
pocket,cont,structAgainst,1.0,1.5,96,493,-0.006568112685513466,62.27180527383367,337,-0.0690449770401634,54.59940652818991,0.5209075523057529
pocket,cont,structAgainst,1.0,1.5,288,493,-0.006568112685513466,62.27180527383367,337,-0.0690449770401634,54.59940652818991,0.5209075523057529
pocket,fade,structAgainst,4.0,2.0,288,493,-0.006665166808181861,35.699797160243406,337,-0.04555629405480842,32.34421364985163,0.831019665883162
pocket,cont,noBOS,4.0,2.0,96,1671,-0.006822889770492536,34.76959904248953,1162,-0.04715083370246112,33.47676419965577,0.8218378887704988
pocket,cont,ALL,4.0,2.0,96,1673,-0.007177013762802309,34.72803347280335,1166,-0.04755470791656513,33.44768439108062,0.8204329229701455
pocket,cont,structAgainst,1.0,1.5,24,493,-0.007492134207063214,62.06896551724138,337,-0.06930906694763324,54.3026706231454,0.5156951637465027
pocket,cont,noSweep,2.0,3.0,288,1584,-0.007573747300999904,60.47979797979798,1104,-0.054842505653854685,58.87681159420289,0.7733601737971069
pocket,cont,ALL,1.0,3.0,24,1673,-0.007580296148744831,73.99880454273759,1166,-0.048670716396858625,70.15437392795883,0.668558900328175
pocket,cont,noBOS,1.0,3.0,24,1671,-0.007698912666779008,73.96768402154399,1162,-0.048507106197374424,70.22375215146299,0.6692610272735935
pocket,cont,noSweep,2.0,3.0,24,1584,-0.00785971230774111,57.00757575757576,1104,-0.05465594399384374,54.43840579710145,0.7454262490777483
pocket,cont,bigDisp,3.0,2.0,288,1215,-0.008026662512412014,40.74074074074074,887,-0.05326077439101819,39.45885005636979,0.783724812085314
pocket,cont,noSweep,2.0,2.0,288,1584,-0.00843202181527418,50.252525252525245,1104,-0.05552909882141906,49.275362318840585,0.7337706333737697
pocket,cont,noSweep,2.0,3.0,96,1584,-0.008874834467161447,60.1010101010101,1104,-0.05419088200499335,58.78623188405797,0.7740186070190407
pocket,cont,noBOS,2.0,2.0,96,1671,-0.008979263449931364,50.50867743865949,1162,-0.05327156943981442,49.5697074010327,0.742338571206127
pocket,cont,structAgainst,4.0,1.5,24,493,-0.008991894920197566,37.93103448275862,337,-0.04986563566394326,34.124629080118694,0.7474662891196747
pocket,cont,ALL,2.0,2.0,96,1673,-0.009103333999866375,50.508069336521224,1166,-0.05393197033437577,49.48542024013722,0.739619301466222
flip,cont,noBOS,2.0,2.0,24,131,-0.009125087113314992,50.38167938931297,80,0.009286709725189728,57.49999999999999,1.056252577148102
pocket,cont,noSweep,3.0,1.5,24,1584,-0.00931383147350722,38.005050505050505,1104,-0.04678504006960073,35.869565217391305,0.7560598589333954
flip,cont,noBOS,2.0,1.5,24,131,-0.00941459163199344,41.221374045801525,80,0.00045264964342480173,50.0,1.00285632519966
pocket,cont,bigDisp,4.0,2.0,288,1215,-0.009527832236601782,34.32098765432099,887,-0.05058803175866828,33.14543404735062,0.8133835392854404
pocket,cont,noBOS,3.0,1.5,288,1671,-0.009624187779714822,34.05146618791143,1162,-0.045728290331123314,33.218588640275385,0.7809879390809013
pocket,cont,ALL,3.0,1.5,288,1673,-0.009640437357716096,34.070531978481775,1166,-0.04602994328139505,33.19039451114923,0.7796742910900869
flip,fade,noBOS,2.0,3.0,288,131,-0.009836790093009999,63.358778625954194,80,-0.16183283910357588,47.5,0.4981856990724222
pocket,cont,noBOS,3.0,1.5,96,1671,-0.00994787091849462,34.05146618791143,1162,-0.04514817834665286,33.04647160068847,0.7825358946398973
flip,fade,structAgainst,3.0,2.0,24,331,-0.009952712356137618,44.10876132930513,227,-0.036701752193640205,42.731277533039645,0.8356946578535233
pocket,cont,ALL,3.0,1.5,96,1673,-0.009963733547136921,34.070531978481775,1166,-0.04545182138949567,33.0188679245283,0.7812085388331234
pocket,fade,structAgainst,4.0,2.0,96,493,-0.010050715914243726,35.902636916835704,337,-0.05017939470399753,32.640949554896146,0.8124329271992637
pocket,cont,structAgainst,1.0,3.0,24,493,-0.010207899395803188,73.83367139959432,337,-0.0644155806560274,67.06231454005935,0.5913047166270919
pocket,cont,structAgainst,3.0,3.0,24,493,-0.010309360307275589,49.49290060851927,337,-0.06330983912016151,46.88427299703264,0.7308522502466553
pocket,cont,noSweep,2.0,1.5,24,1584,-0.01078850922418983,44.44444444444444,1104,-0.04988413684444926,42.481884057971016,0.7150425915902541
pocket,cont,ALL,2.0,1.5,24,1673,-0.011327095483799135,44.411237298266585,1166,-0.048447751995477614,42.881646655231556,0.7218043783391621
pocket,cont,noBOS,2.0,1.5,24,1671,-0.011339204393524132,44.40454817474566,1162,-0.048015182271260094,42.943201376936315,0.7239015648820271
pocket,cont,posHigh,3.0,1.0,24,543,-0.011391591194459537,30.386740331491712,370,-0.058985029121847166,27.56756756756757,0.6386884186752867
pocket,cont,bigDisp,2.0,3.0,288,1215,-0.011430872400580673,60.82304526748972,887,-0.05509134468578206,58.39909808342728,0.773112739639073
pocket,cont,bigDisp,3.0,2.0,96,1215,-0.01149042518178094,40.49382716049383,887,-0.05182405389301432,39.57158962795941,0.7887241505968919
pocket,cont,noSweep,2.0,2.0,96,1584,-0.011632441492071818,50.12626262626263,1104,-0.05525742910714431,49.275362318840585,0.7347276135069055
pocket,cont,posLow,4.0,1.5,288,553,-0.011648627366464024,28.75226039783002,350,-0.02073867004664305,28.000000000000004,0.9020511636219428
pocket,cont,bigDisp,3.0,3.0,24,1215,-0.01166278462472881,50.78189300411523,887,-0.053282573329708115,47.576099210822996,0.786770781741686
flip,fade,posHigh,1.0,3.0,288,900,-0.012161212025798658,75.44444444444444,619,-0.032820569596266135,76.25201938610662,0.7636180410290713
pocket,cont,structAlign,2.0,2.0,24,411,-0.01234882849750067,49.63503649635037,323,-0.03864967289394424,50.77399380804953,0.7977429259843825
